game_id,round,player_id,player_name,player_type,decision,payoff,contribution,thinking
Game-2c5e98,4,cc85360a-7c14-45fe-9735-be5f69fe266c,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,5,2.5,more,"Let's keep the momentum going!  Investing the full 5 units again maximizes the payout for everyone.  Even though some players invested less last round, we all benefit most when we all contribute the maximum.  Let's finish strong with a final round of full cooperation!"
Game-2c5e98,4,70f4404a-58a6-4dc9-98b9-3dc8e1ad2563,ThoughtfulInvestor_2,A cautious but fair player who wants the group to succeed but avoids being exploited.,0,7.5,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 48
}
]"
Game-2c5e98,4,7807fe53-ae10-49eb-bfd7-d34d48d1ca5c,Maximizer_3,A player who is flexible and will try to win using whatever strategy seems best.,0,7.5,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 48
}
]"
Game-2c5e98,4,77c44e24-39e6-4c2c-aea2-c550caef24f4,Altruist_4,A player who believes that cooperation is always the best strategy for everyone.,0,7.5,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 48
}
]"
Game-2c5e98,4,6c5e46d5-ec82-4332-9859-4e1868027fcc,ThoughtfulInvestor_5,A cautious but fair player who wants the group to succeed but avoids being exploited.,0,7.5,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 48
}
]"
Game-2c5e98,5,fc3b8ff6-caef-4a62-bb16-0ee97a0f49be,Human_1,human,5,1.75,more,Human decision
Game-2c5e98,5,cc85360a-7c14-45fe-9735-be5f69fe266c,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,0,6.75,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 47
}
]"
Game-2c5e98,5,70f4404a-58a6-4dc9-98b9-3dc8e1ad2563,ThoughtfulInvestor_2,A cautious but fair player who wants the group to succeed but avoids being exploited.,2,4.75,more,"The other players' contributions have significantly decreased.  To avoid exploitation, I'm reducing my investment while still contributing to the group pot."
Game-2c5e98,5,7807fe53-ae10-49eb-bfd7-d34d48d1ca5c,Maximizer_3,A player who is flexible and will try to win using whatever strategy seems best.,0,6.75,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
]"
Game-2c5e98,5,77c44e24-39e6-4c2c-aea2-c550caef24f4,Altruist_4,A player who believes that cooperation is always the best strategy for everyone.,0,6.75,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
]"
Game-2c5e98,5,6c5e46d5-ec82-4332-9859-4e1868027fcc,ThoughtfulInvestor_5,A cautious but fair player who wants the group to succeed but avoids being exploited.,0,6.75,less,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-1.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
]"
